tok	changepoint_idx	start_idx	end_idx	value
gene_37851	2018-2019	2017-2018	2018-2019	42.20159570738785
gene_18472	2018-2019	2017-2018	2018-2019	42.14089745188933
npc1	2018-2019	2016-2017	2018-2019	42.02825603846077
pspa	2019-2020	2018-2019	2019-2020	42.02626058047191
gene_100038489	2020-2021	2019-2020	2020-2021	42.01266815752253
ssa1	2018-2019	2017-2018	2018-2019	41.87678990665293
paspalum	2020-2021	2019-2020	2020-2021	41.84065045845581
etomoxir	2018-2019	2017-2018	2018-2019	41.701787039984296
rogfp2	2018-2019	2017-2018	2018-2019	41.6872255298487
tasa	2018-2019	2017-2018	2018-2019	41.54222315284273
twine	2018-2019	2017-2018	2018-2019	41.52786165545649
sie	2018-2019	2017-2018	2018-2019	41.44862499418572
artic	2019-2020	2018-2019	2019-2020	41.43677105162085
rbd	2019-2020	2017-2018	2019-2020	41.40791748240678
ldpre	2018-2019	2017-2018	2018-2019	41.3452643664991
sici	2018-2019	2017-2018	2018-2019	41.24529058570052
species_6306	2018-2019	2017-2018	2018-2019	41.17532428202193
sawfish	2020-2021	2019-2020	2020-2021	41.12071988203226
gene_2735	2018-2019	2017-2018	2018-2019	40.896581763516956
disease_mesh_c535575	2016-2017	2015-2016	2016-2017	40.81187150824661
froi	2018-2019	2017-2018	2018-2019	40.78898778781502
pqs	2018-2019	2017-2018	2018-2019	40.59860320938541
aire	2018-2019	2017-2018	2018-2019	40.5887763786182
agr	2018-2019	2017-2018	2018-2019	40.518799046890024
gene_31310	2018-2019	2016-2017	2018-2019	40.4912429579616
ww1	2020-2021	2019-2020	2020-2021	40.4733789172415
mik2	2020-2021	2019-2020	2020-2021	40.4253803025061
minc	2018-2019	2016-2017	2018-2019	40.41466174016444
gene_25836	2018-2019	2017-2018	2018-2019	40.35262218770313
pendulum	2018-2019	2017-2018	2018-2019	40.23329662521782
species_12045	2019-2020	2017-2018	2019-2020	40.20327305560727
auxre	2018-2019	2017-2018	2018-2019	40.13884311754835
distension	2018-2019	2017-2018	2018-2019	40.00692711691181
ebc	2018-2019	2017-2018	2018-2019	39.92562014030276
nspc	2018-2019	2017-2018	2018-2019	39.91487276857281
itd	2018-2019	2017-2018	2018-2019	39.872087522609085
bbd	2019-2020	2018-2019	2019-2020	39.69032697475119
enterobase	2018-2019	2017-2018	2018-2019	39.582378034168904
acad9	2020-2021	2019-2020	2020-2021	39.455569949645884
gene_26416	2018-2019	2016-2017	2018-2019	39.44182253888743
gene_15285	2020-2021	2019-2020	2020-2021	39.33808652845684
acls	2019-2020	2018-2019	2019-2020	39.307737533298415
emic	2020-2021	2019-2020	2020-2021	39.26776186192149
walking	2016-2017	2015-2016	2016-2017	39.12914563780628
acylsugar	2019-2020	2018-2019	2019-2020	39.11437439366835
dm1	2018-2019	2017-2018	2018-2019	39.10766271451636
gene_4998	2018-2019	2017-2018	2018-2019	39.10086586315688
pgclc	2019-2020	2018-2019	2019-2020	39.05854193705835
msha	2020-2021	2019-2020	2020-2021	39.04559002179214
t7rnap	2020-2021	2019-2020	2020-2021	38.968117516180754
gene_33607	2020-2021	2019-2020	2020-2021	38.89571646203766
imsc	2020-2021	2019-2020	2020-2021	38.8036223686859
irbc	2018-2019	2017-2018	2018-2019	38.79848749256776
ruvbl2	2019-2020	2018-2019	2019-2020	38.79243748545922
dp1tyb	2020-2021	2019-2020	2020-2021	38.75101479736726
reff	2019-2020	2017-2018	2019-2020	38.66102065493342
gh1	2018-2019	2017-2018	2018-2019	38.587722822853245
ndv	2019-2020	2018-2019	2019-2020	38.508115962274985
species_35252	2019-2020	2018-2019	2019-2020	38.46568813010457
aab	2018-2019	2017-2018	2018-2019	38.42518381446039
lsf	2018-2019	2017-2018	2018-2019	38.41902830950928
dialect	2018-2019	2017-2018	2018-2019	38.39534171626286
injectrode	2020-2021	2019-2020	2020-2021	38.300023487071556
scallop	2018-2019	2016-2017	2018-2019	38.21855937104382
tbpb	2020-2021	2019-2020	2020-2021	38.09873751918069
b-1	2018-2019	2016-2017	2018-2019	38.08360788746283
shp1	2018-2019	2017-2018	2018-2019	38.039305197164495
gene_6776	2018-2019	2017-2018	2018-2019	38.02431686453082
biofluid	2017-2018	2016-2017	2017-2018	38.01155216098743
gene_12767	2018-2019	2017-2018	2018-2019	37.99409915594158
quinoa	2018-2019	2017-2018	2018-2019	37.99036641672078
pseudovirus	2019-2020	2017-2018	2019-2020	37.95563107517204
gy	2016-2017	2015-2016	2016-2017	37.83488762807654
gene_11153	2018-2019	2017-2018	2018-2019	37.73621377417334
d2r	2018-2019	2016-2017	2018-2019	37.709667411851996
xoo	2018-2019	2017-2018	2018-2019	37.60174204455506
dimple	2018-2019	2017-2018	2018-2019	37.577519423145674
gene_4643	2020-2021	2019-2020	2020-2021	37.567175767483825
eae	2018-2019	2017-2018	2018-2019	37.54164708087344
gene_55839	2020-2021	2019-2020	2020-2021	37.4368125498773
tigit	2018-2019	2017-2018	2018-2019	37.40906453867658
gene_59301	2019-2020	2018-2019	2019-2020	37.30921610623413
nhbe	2019-2020	2018-2019	2019-2020	37.24231220136976
msh1	2019-2020	2018-2019	2019-2020	37.213497808901806
clec-2	2018-2019	2017-2018	2018-2019	37.15331649431082
meja	2018-2019	2017-2018	2018-2019	37.11847156278357
rnla	2020-2021	2019-2020	2020-2021	37.04725410060954
cole9	2020-2021	2019-2020	2020-2021	37.03356055730077
magel2	2019-2020	2018-2019	2019-2020	37.02976578927247
gene_5609	2016-2017	2015-2016	2016-2017	36.95673685415314
species_5518	2017-2018	2016-2017	2017-2018	36.878877278620394
cdcp1	2020-2021	2019-2020	2020-2021	36.819672652249054
healthspan	2017-2018	2016-2017	2017-2018	36.7649096583124
gene_2521	2017-2018	2016-2017	2017-2018	36.73362186597005
species_11908	2018-2019	2015-2016	2018-2019	36.69937071076239
cht	2018-2019	2017-2018	2018-2019	36.674493583169124
vibrant	2018-2019	2017-2018	2018-2019	36.653626465233685
ang	2018-2019	2017-2018	2018-2019	36.65356588622838
nft	2017-2018	2016-2017	2017-2018	36.50489981867177
runny	2019-2020	2018-2019	2019-2020	36.415584831388166
procalcitonin	2019-2020	2018-2019	2019-2020	36.38910497180131
gene_64127	2018-2019	2017-2018	2018-2019	36.27009441873227
gene_5045	2019-2020	2017-2018	2019-2020	36.2584627289075
mcherry2	2019-2020	2018-2019	2019-2020	36.25071602129747
je	2018-2019	2017-2018	2018-2019	36.24646670360938
gene_6818	2018-2019	2016-2017	2018-2019	36.167641966699875
gene_4771	2018-2019	2017-2018	2018-2019	36.11648862403532
species_1598	2018-2019	2017-2018	2018-2019	36.02039834928538
species_12319	2020-2021	2019-2020	2020-2021	35.97323867519508
innexin	2018-2019	2017-2018	2018-2019	35.918568247092466
afp1	2020-2021	2019-2020	2020-2021	35.80629014027895
gene_429	2018-2019	2017-2018	2018-2019	35.71629086510551
choanoflagellate	2016-2017	2015-2016	2016-2017	35.641332262700665
conoid	2018-2019	2017-2018	2018-2019	35.60292410046771
species_110193	2018-2019	2017-2018	2018-2019	35.56199332920683
gene_2004	2018-2019	2017-2018	2018-2019	35.55953258564895
pmca	2018-2019	2017-2018	2018-2019	35.47164684843454
cyp2c	2020-2021	2019-2020	2020-2021	35.45822483774812
roe	2018-2019	2017-2018	2018-2019	35.404719133943814
mpf	2017-2018	2016-2017	2017-2018	35.30582188246295
abd1	2020-2021	2019-2020	2020-2021	35.27975573894538
voc	2020-2021	2019-2020	2020-2021	35.232621775446646
brassicae	2018-2019	2017-2018	2018-2019	35.16581663595873
gene_12419	2018-2019	2017-2018	2018-2019	35.132647929240754
gene_99982	2018-2019	2017-2018	2018-2019	35.05332826511214
uorfs	2018-2019	2017-2018	2018-2019	35.04987185909371
spermatozoid	2020-2021	2019-2020	2020-2021	35.034843659891706
adrn	2020-2021	2018-2019	2020-2021	34.94399162450564
nup88	2019-2020	2018-2019	2019-2020	34.89491353781065
princess	2019-2020	2016-2017	2019-2020	34.876200861893736
tmprss2	2019-2020	2018-2019	2019-2020	34.80936346119754
dra	2018-2019	2016-2017	2018-2019	34.79347264003155
shandong	2018-2019	2017-2018	2018-2019	34.75969902759674
cci	2017-2018	2016-2017	2017-2018	34.74933175178773
gene_42757	2019-2020	2018-2019	2019-2020	34.71894951427393
gene_2056	2018-2019	2016-2017	2018-2019	34.666442534087736
n300	2019-2020	2018-2019	2019-2020	34.59733040303769
ωa	2018-2019	2017-2018	2018-2019	34.49169184138822
pygmy	2016-2017	2015-2016	2016-2017	34.481984698001156
gene_5163	2020-2021	2019-2020	2020-2021	34.456804473853765
gene_7276	2017-2018	2016-2017	2017-2018	34.41759045793292
cavefish	2018-2019	2017-2018	2018-2019	34.39387297328547
ctcc	2021-2022	2020-2021	2021-2022	34.37051968263107
frip	2018-2019	2017-2018	2018-2019	34.35189466097559
atherogenic	2018-2019	2017-2018	2018-2019	34.30030231079676
pilu	2018-2019	2017-2018	2018-2019	34.2381586905265
interrupter	2020-2021	2019-2020	2020-2021	34.210820545671424
mmn	2018-2019	2017-2018	2018-2019	34.1777807434089
zo	2018-2019	2017-2018	2018-2019	34.14792823944292
gene_5928	2017-2018	2016-2017	2017-2018	34.110020220850366
c53	2019-2020	2018-2019	2019-2020	34.044821043954876
seir	2019-2020	2017-2018	2019-2020	34.03425878472472
homa	2017-2018	2016-2017	2017-2018	33.97337057970316
rprm	2020-2021	2019-2020	2020-2021	33.90551190216781
gene_4609	2016-2017	2015-2016	2016-2017	33.86869366105991
nho	2020-2021	2019-2020	2020-2021	33.85959464928485
sln	2018-2019	2017-2018	2018-2019	33.80327253687563
tau181	2019-2020	2018-2019	2019-2020	33.73353404544711
yap1	2017-2018	2016-2017	2017-2018	33.689249140036814
hda-1	2019-2020	2018-2019	2019-2020	33.640398547429484
haplotig	2018-2019	2017-2018	2018-2019	33.59163599582909
cadmium	2016-2017	2015-2016	2016-2017	33.542293091892084
ris	2018-2019	2017-2018	2018-2019	33.521584795932085
bmms	2018-2019	2017-2018	2018-2019	33.508248905117924
phh	2018-2019	2016-2017	2018-2019	33.435542122144895
andean	2016-2017	2015-2016	2016-2017	33.41929213518839
breadfruit	2020-2021	2019-2020	2020-2021	33.40167808604717
stw	2020-2021	2019-2020	2020-2021	33.38127690051781
mlh3	2018-2019	2017-2018	2018-2019	33.369245702536205
cxcl8	2017-2018	2016-2017	2017-2018	33.35290400922241
smh	2019-2020	2018-2019	2019-2020	33.34273485478499
ck-666	2018-2019	2017-2018	2018-2019	33.33716232760911
npm1	2018-2019	2016-2017	2018-2019	33.32778260267186
gene_829589	2020-2021	2019-2020	2020-2021	33.29867799338106
vgrg	2018-2019	2017-2018	2018-2019	33.28847206228848
hepn	2018-2019	2017-2018	2018-2019	33.22604589026255
eodf	2020-2021	2019-2020	2020-2021	33.21309383056085
fezf2	2018-2019	2017-2018	2018-2019	33.20079905040732
gene_5290	2016-2017	2015-2016	2016-2017	33.19905788167083
hmga2	2018-2019	2017-2018	2018-2019	33.17133321988158
cpn	2018-2019	2017-2018	2018-2019	33.16017186241567
adhe	2018-2019	2017-2018	2018-2019	33.08609980152662
ita	2018-2019	2017-2018	2018-2019	32.93230337136027
larp7	2018-2019	2017-2018	2018-2019	32.88246198611746
olig2	2016-2017	2015-2016	2016-2017	32.87452813840504
gene_151516	2018-2019	2017-2018	2018-2019	32.804034968511765
boec	2020-2021	2019-2020	2020-2021	32.769829388807786
reopen	2019-2020	2017-2018	2019-2020	32.7305664444828
gene_1178	2018-2019	2017-2018	2018-2019	32.673465892366636
drd2	2017-2018	2016-2017	2017-2018	32.62008534132286
ubc13	2018-2019	2017-2018	2018-2019	32.61578199046261
paramecia	2018-2019	2017-2018	2018-2019	32.608313012498044
mvm	2019-2020	2018-2019	2019-2020	32.6025830184702
saccharin	2018-2019	2017-2018	2018-2019	32.577798684593105
21u	2019-2020	2018-2019	2019-2020	32.563753134993654
aha	2018-2019	2016-2017	2018-2019	32.54466321013437
hap2	2017-2018	2016-2017	2017-2018	32.518687771168544
gene_2706	2019-2020	2018-2019	2019-2020	32.51556811539073
hsf1	2016-2017	2015-2016	2016-2017	32.50876922508155
osb	2020-2021	2019-2020	2020-2021	32.49559741663351
lis1	2018-2019	2017-2018	2018-2019	32.49057310223555
vab	2018-2019	2017-2018	2018-2019	32.46880355786507
pdpn	2018-2019	2017-2018	2018-2019	32.45611219415628
gene_339	2020-2021	2019-2020	2020-2021	32.41201342201314
site1	2019-2020	2018-2019	2019-2020	32.377347715563396
ovule	2016-2017	2015-2016	2016-2017	32.233162617498735
authorship	2016-2017	2015-2016	2016-2017	32.22954986010958
gene_855003	2020-2021	2019-2020	2020-2021	32.19798939218581
klf1	2018-2019	2017-2018	2018-2019	32.185516433123425
gene_246620	2019-2020	2018-2019	2019-2020	32.17085129167236
rcd	2018-2019	2017-2018	2018-2019	32.12146117887707
mir-16	2017-2018	2016-2017	2017-2018	32.1174984629558
sdl	2019-2020	2018-2019	2019-2020	32.0961653533743
diasorin	2019-2020	2018-2019	2019-2020	31.950026993635113
gene_6530	2020-2021	2019-2020	2020-2021	31.94108390821185
gene_23067	2020-2021	2019-2020	2020-2021	31.93998016684021
nfe2l1	2019-2020	2018-2019	2019-2020	31.930807173973644
plectoneme	2019-2020	2018-2019	2019-2020	31.920777935450506
jdm	2020-2021	2019-2020	2020-2021	31.919282941083658
gene_347527	2019-2020	2018-2019	2019-2020	31.90568878947711
gene_22390	2018-2019	2017-2018	2018-2019	31.87760218331207
3xp3	2018-2019	2017-2018	2018-2019	31.843185581681436
microgroove	2018-2019	2017-2018	2018-2019	31.79134024786049
parhyale	2020-2021	2019-2020	2020-2021	31.786517419436255
roo	2018-2019	2017-2018	2018-2019	31.77683661845403
gene_7082	2018-2019	2017-2018	2018-2019	31.738446422593015
pac1	2018-2019	2017-2018	2018-2019	31.692071850580895
gene_20692	2019-2020	2018-2019	2019-2020	31.622700204038036
evol	2020-2021	2019-2020	2020-2021	31.569174671329172
hco	2018-2019	2017-2018	2018-2019	31.48575706326751
gene_16653	2017-2018	2016-2017	2017-2018	31.44529792448486
rbpm	2018-2019	2017-2018	2018-2019	31.408727638738565
gene_967	2018-2019	2017-2018	2018-2019	31.393962051922838
gene_2672	2020-2021	2019-2020	2020-2021	31.390237552961604
nanosphere	2018-2019	2017-2018	2018-2019	31.32057528227986
gene_176282	2017-2018	2016-2017	2017-2018	31.19441637640338
sfp	2018-2019	2017-2018	2018-2019	31.176526873139228
iec	2017-2018	2016-2017	2017-2018	31.099109251820316
nrda	2020-2021	2019-2020	2020-2021	31.056366627218708
gene_51750	2019-2020	2017-2018	2019-2020	31.033520957896368
pvs	2018-2019	2017-2018	2018-2019	30.968389755328868
species_12295	2018-2019	2015-2016	2018-2019	30.936496988088862
tgs1	2019-2020	2018-2019	2019-2020	30.879823614768206
aze	2021-2022	2020-2021	2021-2022	30.866177062359313
brc-1	2019-2020	2018-2019	2019-2020	30.849853681339294
highland	2016-2017	2015-2016	2016-2017	30.719567813370585
corsica	2017-2018	2016-2017	2017-2018	30.71323293261579
foxp	2019-2020	2018-2019	2019-2020	30.68851409220083
crn1	2021-2022	2020-2021	2021-2022	30.600823953726746
gene_1503	2020-2021	2019-2020	2020-2021	30.597103687140446
gene_6495	2020-2021	2019-2020	2020-2021	30.579551034996733
gene_4513	2018-2019	2017-2018	2018-2019	30.574229803382256
circum	2018-2019	2016-2017	2018-2019	30.551593408000357
uvra	2018-2019	2017-2018	2018-2019	30.487132206144683
gene_17260	2018-2019	2017-2018	2018-2019	30.484770020068048
pfn	2019-2020	2018-2019	2019-2020	30.46964180779925
species_11272	2018-2019	2017-2018	2018-2019	30.44919352052097
chronotype	2017-2018	2016-2017	2017-2018	30.446025135101998
gene_818596	2018-2019	2017-2018	2018-2019	30.348593604072757
nup188	2018-2019	2017-2018	2018-2019	30.341459468272177
2021	2020-2021	2018-2019	2020-2021	30.323719037120988
palbo	2020-2021	2019-2020	2020-2021	30.31559834833881
gene_51266	2020-2021	2019-2020	2020-2021	30.21299110966098
lgr	2018-2019	2017-2018	2018-2019	30.198524919074373
dentin	2018-2019	2017-2018	2018-2019	30.16420337924274
tweet	2018-2019	2017-2018	2018-2019	30.14914966217805
grcs	2020-2021	2019-2020	2020-2021	30.14135144945959
gvs	2017-2018	2016-2017	2017-2018	30.128418249836056
n262	2019-2020	2018-2019	2019-2020	30.11416129476657
clonidine	2018-2019	2017-2018	2018-2019	30.049499126242992
nipbl	2018-2019	2017-2018	2018-2019	30.02400980145898
gene_319757	2018-2019	2017-2018	2018-2019	29.966791185749983
mdv	2018-2019	2017-2018	2018-2019	29.929777448287204
gene_14723	2019-2020	2018-2019	2019-2020	29.91544317185594
pyvs	2018-2019	2017-2018	2018-2019	29.901018260079404
bbs4	2018-2019	2017-2018	2018-2019	29.85744227266835
fta	2018-2019	2017-2018	2018-2019	29.851661697192853
embolus	2019-2020	2018-2019	2019-2020	29.791010991941402
holarctic	2018-2019	2017-2018	2018-2019	29.746504662424865
lice	2018-2019	2017-2018	2018-2019	29.744567136154696
pyv	2018-2019	2017-2018	2018-2019	29.740280154738674
