	disease	gene	class	score
1356	MESH:D001943	675	1	0.4404205795971053
6132	MESH:D009765	3953	1	0.4377338954087059
3270	MESH:D013274	200504	1	0.4371224554084248
3017	MESH:D013274	1045	1	0.4368027005680089
6485	MESH:D008180	5657	1	0.4362606894004383
8308	MESH:D006973	1636	1	0.4362163292459635
11035	MESH:D007889	9968	1	0.43617411833118414
9331	MESH:D010024	50964	1	0.43614963295079107
8972	MESH:D000690	6311	1	0.4357402560806053
11323	MESH:D010195	5644	1	0.43524737478248304
1188	MESH:D010051	2064	1	0.4351471053338231
8859	MESH:D005901	4653	1	0.4351077374717353
5468	MESH:D001172	56246	1	0.4347746712277896
2544	MESH:D011471	2064	1	0.4345202058107088
3052	MESH:D013274	2520	1	0.4343333685774671
151	MESH:D019337	2322	1	0.4340488291346737
4046	MESH:D008545	2064	1	0.4309071942807539
3884	MESH:D009373	57167	1	0.43084395959190536
961	MESH:D010190	5644	1	0.43056446504727
11056	MESH:D009290	3060	1	0.4302540851381061
9140	MESH:D050197	3949	1	0.4299291558354031
9360	MESH:D007037	6906	1	0.4299222720581405
2478	MESH:D011471	672	1	0.4296579535253425
1584	MESH:D001943	5241	1	0.4296365207027225
7983	MESH:D013167	56246	1	0.429389281666335
8603	MESH:D006973	8991	1	0.4293626996756866
8041	MESH:D011085	3630	1	0.4292782607683404
5086	MESH:D003093	64127	1	0.4291785282858453
8023	MESH:D011085	2492	1	0.4287187043424861
7855	MESH:D003876	85480	1	0.4285260031448914
10538	MESH:D007676	8074	1	0.4284644285400225
7125	MESH:D001249	94103	1	0.4283806891129621
5139	MESH:D003922	2572	1	0.4281638294883784
935	MESH:D010190	3845	1	0.4278962173594001
4892	MESH:D003924	6524	1	0.4278505758540232
7430	MESH:D000544	348	1	0.4273943500499076
8083	MESH:D011085	6822	1	0.4273217078588704
1277	MESH:D010051	10232	1	0.4269039517075692
3099	MESH:D013274	4583	1	0.4268499035102644
118	MESH:D019337	1440	1	0.4258703284294517
7680	MESH:D010300	2629	1	0.4253932790262443
4821	MESH:D003924	3898	1	0.4253589987365517
140	MESH:D019337	2122	1	0.4251656577113822
975	MESH:D010190	6690	1	0.4250515439301994
2664	MESH:D011471	4824	1	0.4248313814103229
10794	MESH:D001321	4204	1	0.4247347014050338
7264	MESH:D012559	6532	1	0.4246142198958736
3009	MESH:D013274	999	1	0.4245946790820526
759	MESH:D007680	5076	1	0.4242860933748642
3795	MESH:D003110	4583	1	0.4239795051829012
7536	MESH:D000544	5663	1	0.4239352248748231
1775	MESH:D001943	25855	1	0.4238292182817463
1191	MESH:D010051	2099	1	0.4232020473457653
1564	MESH:D001943	4830	1	0.4230401470378962
2847	MESH:D011471	10481	1	0.42255493839019387
10619	MESH:D015433	7827	1	0.422292156668195
793	MESH:D007680	6928	1	0.4219004275970685
539	MESH:D019337	171023	1	0.4217825211866324
11370	MESH:D053040	7369	1	0.4217612587285368
10130	MESH:D004827	6792	1	0.4210787794185482
11163	MESH:D001289	1813	1	0.4210179136074629
6322	MESH:D009765	80339	1	0.4205708030634441
2878	MESH:D011471	23600	1	0.4203930576681729
7360	MESH:D012559	267012	1	0.4202800924534775
9282	MESH:D010024	4041	1	0.4199794740184168
6236	MESH:D009765	7352	1	0.41982334057141735
18969	MESH:D010051	5925	0	0.4197769127454157
11527	MESH:D005923	7827	1	0.41969947168050803
11141	MESH:D054990	6441	1	0.418177656257289
7997	MESH:D011085	268	1	0.4181735601449033
4121	MESH:D008545	4286	1	0.4174463195896638
8105	MESH:D011085	9210	1	0.4174207364584701
11418	MESH:D010518	4317	1	0.4172579556019198
809	MESH:D007680	8314	1	0.4170309076927012
7352	MESH:D012559	121278	1	0.4165822044124853
6798	MESH:D008268	6121	1	0.4155045316741609
4249	MESH:D008545	23532	1	0.4154380524406935
3298	MESH:D001749	2064	1	0.4151655857597232
6497	MESH:D008180	6775	1	0.4147157748146511
1173	MESH:D010051	675	1	0.4143377905636278
802	MESH:D007680	7490	1	0.4142948117039055
4041	MESH:D008545	1956	1	0.41424437994889374
4549	MESH:D003424	149233	1	0.4137158001130897
10625	MESH:D016640	2645	1	0.4136870188849634
6381	MESH:D002446	7052	1	0.41363597708799377
251	MESH:D019337	4297	1	0.4134896981860667
8109	MESH:D011085	10135	1	0.41339893858413335
9365	MESH:D007037	7173	1	0.4131988552010537
4171	MESH:D008545	5925	1	0.4129985763506809
9368	MESH:D007037	7253	1	0.4129610166168539
6512	MESH:D008180	8718	1	0.4128742634122016
6235	MESH:D009765	7351	1	0.4118943491862481
5450	MESH:D001172	10673	1	0.4117978232614776
4826	MESH:D003924	4018	1	0.4117915313035881
1225	MESH:D010051	5241	1	0.41113954356157495
4057	MESH:D008545	2315	1	0.41111016211930784
6453	MESH:D008180	3123	1	0.4109140529822724
5311	MESH:D001172	3123	1	0.41064203156975104
4353	MESH:D005706	3845	1	0.4103437323634285
9095	MESH:D050197	1071	1	0.4092876258176774
3378	MESH:D001749	11186	1	0.4090594708016073
4262	MESH:D008545	29126	1	0.4089737822907776
10577	MESH:D015535	3605	1	0.4087948717125403
8112	MESH:D011085	10468	1	0.4085720425635913
3168	MESH:D013274	7031	1	0.4084602923664084
5338	MESH:D001172	3605	1	0.4083969507362365
4015	MESH:D008545	1029	1	0.4082617351536127
3261	MESH:D013274	83998	1	0.4078682396340031
9366	MESH:D007037	7200	1	0.4077782251236565
6797	MESH:D008268	6103	1	0.4077434844193
9158	MESH:D050197	4982	1	0.4071043436019427
960	MESH:D010190	5539	1	0.4060145189016823
3100	MESH:D013274	4588	1	0.4059955611450123
5138	MESH:D003922	2571	1	0.4059289021455084
10924	MESH:D001321	93986	1	0.4056130856605717
10585	MESH:D015535	26525	1	0.4056122408718475
10579	MESH:D015535	4210	1	0.4055545884910455
3422	MESH:D010524	4763	1	0.4050181820243357
7893	MESH:D001714	3356	1	0.4045580609885262
4905	MESH:D003924	6934	1	0.4042320883201572
4177	MESH:D008545	6490	1	0.40403127133586336
11175	MESH:D001289	6532	1	0.4034829859022079
7170	MESH:D012559	1814	1	0.4032000221488293
21442	MESH:D001943	9687	0	0.4027439009482864
9030	MESH:D000690	203228	1	0.4024831008325411
10971	MESH:D002311	4607	1	0.4023298151360491
1616	MESH:D001943	5925	1	0.4022635577221728
11449	MESH:D001471	1045	1	0.4022266779540444
8523	MESH:D006973	5972	1	0.4021966380527684
1993	MESH:D005910	8842	1	0.4016346542941611
6891	MESH:D024821	9370	1	0.4010722026487293
6410	MESH:D008180	712	1	0.4007372965465792
6061	MESH:D009765	2117	1	0.40055114326461894
6372	MESH:D002446	3938	1	0.4003901564529069
932	MESH:D010190	3651	1	0.4001717915565631
11034	MESH:D007889	8091	1	0.4001471890355661
11516	MESH:D005923	4868	1	0.3999623819388243
357	MESH:D019337	6886	1	0.3998008533716952
5183	MESH:D003922	5798	1	0.3997863538357335
9359	MESH:D007037	6567	1	0.3997549097073672
3083	MESH:D013274	3845	1	0.39952870814241415
9204	MESH:D050197	9370	1	0.3990616873943808
798	MESH:D007680	7249	1	0.39895571080315095
11012	MESH:D002311	282996	1	0.398782753218042
7635	MESH:D006111	8718	1	0.39872745537753607
7549	MESH:D000544	6653	1	0.3986139660225868
8203	MESH:D006973	183	1	0.3985884786469539
4349	MESH:D005706	2064	1	0.3984862297190409
7585	MESH:D000544	23646	1	0.3982984024011916
2548	MESH:D011471	2099	1	0.3981062123042541
7546	MESH:D000544	6622	1	0.3977878074422509
937	MESH:D010190	4072	1	0.3976622618688457
4104	MESH:D008545	3815	1	0.3973678460198431
583	MESH:D001932	4255	1	0.39736069287865
3285	MESH:D001749	1029	1	0.39703222649985626
755	MESH:D007680	4771	1	0.3969714764351861
8977	MESH:D000690	6647	1	0.39678852794091096
579	MESH:D001932	3417	1	0.3962920688679191
1210	MESH:D010051	4072	1	0.39629006924810256
982	MESH:D010190	6794	1	0.3962113787344165
4199	MESH:D008545	7299	1	0.3959174020112402
4140	MESH:D008545	4893	1	0.3956827610426292
9000	MESH:D000690	23435	1	0.3955835670227023
9225	MESH:D050197	255738	1	0.3955580901196499
6467	MESH:D008180	3606	1	0.3953776035593285
4255	MESH:D008545	25855	1	0.394994687039164
8777	MESH:D007918	4298	1	0.3948078131907934
6466	MESH:D008180	3605	1	0.39471470719322255
4784	MESH:D003924	2740	1	0.39445853739407416
4197	MESH:D008545	7157	1	0.394451558323304
11033	MESH:D007889	5241	1	0.3935395967259793
14093	MESH:D000544	2312	0	0.3934530031910383
3780	MESH:D003110	1045	1	0.3934488643341947
2537	MESH:D011471	1956	1	0.3929640143309974
7171	MESH:D012559	1815	1	0.3929131732633229
11724	MESH:D000740	7066	1	0.3928417352873851
4944	MESH:D003924	11132	1	0.3926524753165347
5148	MESH:D003922	3119	1	0.3925388436006577
2626	MESH:D011471	3817	1	0.3925142380188416
2205	MESH:D004938	2064	1	0.3924305095815179
8145	MESH:D011085	57706	1	0.39242972027477263
5454	MESH:D001172	23569	1	0.3919186563486409
10298	MESH:D006509	3439	1	0.3918470358782236
4780	MESH:D003924	2646	1	0.39177124996817736
6196	MESH:D009765	5697	1	0.3916505445557416
4526	MESH:D003424	55054	1	0.3912393027140381
9249	MESH:D010024	632	1	0.391220627379316
3342	MESH:D001749	5925	1	0.3912171207833856
7565	MESH:D000544	9445	1	0.39108239156155744
940	MESH:D010190	4233	1	0.3907490310033377
10236	MESH:D004827	57526	1	0.3906991777861071
1943	MESH:D005910	4763	1	0.3905219494433276
4768	MESH:D003924	1803	1	0.3905150429978705
10801	MESH:D001321	4763	1	0.3904346795079901
3355	MESH:D001749	7157	1	0.3899595916929708
7537	MESH:D000544	5664	1	0.3899350238515995
676	MESH:D007680	673	1	0.38984965730806576
1932	MESH:D005910	4233	1	0.3898470817350654
6200	MESH:D009765	5919	1	0.38981376453031097
2001	MESH:D005910	10215	1	0.3898026001868642
56	MESH:D019337	861	1	0.3895346112797278
1888	MESH:D005910	1956	1	0.3892784896497118
1676	MESH:D001943	7157	1	0.3891337438940854
6531	MESH:D008180	26191	1	0.38907952866620704
10998	MESH:D002311	7547	1	0.3889952283356075
3885	MESH:D009373	64321	1	0.3889930463879249
4945	MESH:D003924	22796	1	0.3887996149934664
5094	MESH:D003093	149233	1	0.3887495845480921
6910	MESH:D024821	145264	1	0.3882741694519618
1588	MESH:D001943	5290	1	0.3882263282167291
6543	MESH:D008180	59067	1	0.3882041787693251
495	MESH:D019337	54790	1	0.3881166864256362
7630	MESH:D006111	6906	1	0.3878663437280202
10589	MESH:D015535	56246	1	0.3877583865494128
17619	MESH:D013274	4221	0	0.3877085686028555
4398	MESH:D001650	3855	1	0.3872910872670332
7394	MESH:D008881	6323	1	0.3872011405426545
8014	MESH:D011085	1586	1	0.3871625574663464
10167	MESH:D004827	9211	1	0.3871322019785368
10922	MESH:D001321	85358	1	0.3870046626052134
10512	MESH:D007676	5314	1	0.3869577563428224
7581	MESH:D000544	23435	1	0.3866126753003563
9169	MESH:D050197	5444	1	0.3865657035250475
3873	MESH:D009373	6657	1	0.3864148787693971
6265	MESH:D009765	10135	1	0.3860179481649892
5278	MESH:D001172	1311	1	0.3859132772240668
2132	MESH:D000310	5443	1	0.3858550770609427
951	MESH:D010190	5122	1	0.3857817303319071
11336	MESH:D010195	6690	1	0.385665135310896
6423	MESH:D008180	973	1	0.38557433167585337
7917	MESH:D001714	6532	1	0.3853803257542287
1587	MESH:D001943	5268	1	0.3852341279765775
4213	MESH:D008545	8190	1	0.3851569251752217
16409	MESH:D013274	4316	0	0.3850447522202194
6900	MESH:D024821	26291	1	0.3849269450848367
1187	MESH:D010051	1956	1	0.3848405851933308
3294	MESH:D001749	1956	1	0.3847991687075405
9356	MESH:D007037	5617	1	0.38471260181982986
4148	MESH:D008545	5268	1	0.3844331173817803
4113	MESH:D008545	4157	1	0.3838320075959684
385	MESH:D019337	7490	1	0.3837251551913449
13941	MESH:D010190	4582	0	0.3837061161237709
9296	MESH:D010024	5741	1	0.3836997404221825
6383	MESH:D002446	8718	1	0.383666241214586
226	MESH:D019337	3717	1	0.38364004393129786
4431	MESH:D013120	4771	1	0.3836153942059659
11170	MESH:D001289	3356	1	0.3835413002048409
6550	MESH:D008180	115352	1	0.382921798340516
4956	MESH:D003924	56729	1	0.3827511430356728
6860	MESH:D024821	3630	1	0.3826175344104916
6801	MESH:D008268	6785	1	0.3821699878687229
8047	MESH:D011085	3973	1	0.3820906226742945
7617	MESH:D006111	1493	1	0.3818797605838379
10975	MESH:D002311	4879	1	0.3818502773339723
11192	MESH:D001289	121278	1	0.3817639239025068
10734	MESH:D001321	2332	1	0.3816940499770232
6332	MESH:D009765	116519	1	0.381617575960536
771	MESH:D007680	5728	1	0.3815272948415694
7121	MESH:D001249	80332	1	0.3813578293343424
3236	MESH:D013274	51196	1	0.3812993642329349
11799	MESH:D000740	146059	1	0.3812725466427741
1334	MESH:D001943	367	1	0.3812608371167313
797	MESH:D007680	7248	1	0.3811901616309776
8471	MESH:D006973	4878	1	0.38100220009493135
5279	MESH:D001172	1401	1	0.3806396943845761
3886	MESH:D009373	79923	1	0.38058770223151495
3352	MESH:D001749	7015	1	0.3805414623532464
4111	MESH:D008545	4102	1	0.3805113118217799
1374	MESH:D001943	999	1	0.3804813532995229
3156	MESH:D013274	6279	1	0.38037496345755545
7158	MESH:D012559	1312	1	0.3803609474974091
13080	MESH:D010051	1588	0	0.3802505365712323
1039	MESH:D012878	4157	1	0.3802469329695247
4777	MESH:D003924	2641	1	0.3801811897674471
5325	MESH:D001172	3557	1	0.3800800390766974
7826	MESH:D003876	6037	1	0.3799419971039182
5171	MESH:D003922	3767	1	0.3797505886630306
9142	MESH:D050197	3990	1	0.3796911216683688
3014	MESH:D013274	1029	1	0.3796821692527829
1889	MESH:D005910	2064	1	0.3795615100909602
9120	MESH:D050197	3156	1	0.3794793432155851
10591	MESH:D015535	79092	1	0.3792898046428626
2266	MESH:D004938	7157	1	0.3790516530075985
717	MESH:D007680	2719	1	0.3789981871305068
1899	MESH:D005910	2670	1	0.3789780185024544
4358	MESH:D005706	10630	1	0.3789469189611237
7057	MESH:D001249	6037	1	0.37893248029776816
3790	MESH:D003110	3845	1	0.3788792056291848
5409	MESH:D001172	7124	1	0.3787872484560808
8037	MESH:D011085	3484	1	0.3785727919005108
9144	MESH:D050197	4023	1	0.3784692170655782
6361	MESH:D002446	1861	1	0.37842563870801343
1663	MESH:D001943	7031	1	0.37831981100536616
7621	MESH:D006111	3106	1	0.3780528000430034
837	MESH:D007680	23532	1	0.3778647713619807
905	MESH:D010190	1956	1	0.37782794106287065
7809	MESH:D003876	3567	1	0.3777060645699843
11160	MESH:D001289	1312	1	0.377679134877985
1256	MESH:D010051	7157	1	0.3776146601353718
7742	MESH:D010300	6311	1	0.3774754803133158
7141	MESH:D012559	627	1	0.3774154938413034
8028	MESH:D011085	2796	1	0.3773013572483803
3793	MESH:D003110	4292	1	0.3772786372233373
11819	MESH:D016584	6532	1	0.3772269927380571
841	MESH:D007680	29126	1	0.3771181433449367
20805	MESH:D009373	10763	0	0.3770246822322677
20640	MESH:D011471	25855	0	0.376919927571046
8149	MESH:D011085	79068	1	0.3765674460029013
9288	MESH:D010024	4982	1	0.3762951882270314
3173	MESH:D013274	7157	1	0.3762143054076087
938	MESH:D010190	4089	1	0.37608532058087785
7743	MESH:D010300	6531	1	0.3760621244174664
1239	MESH:D010051	5889	1	0.3759334041075563
2947	MESH:D011471	81285	1	0.3759102826858495
3865	MESH:D009373	5460	1	0.3757872477518416
693	MESH:D007680	1029	1	0.37578375837940203
5455	MESH:D001172	26191	1	0.3755444664168005
9224	MESH:D050197	116519	1	0.3754907774127468
11633	MESH:D000740	3040	1	0.3754701043459001
2184	MESH:D004938	1029	1	0.37534903300630973
6503	MESH:D008180	7128	1	0.3753005790382458
271	MESH:D019337	4869	1	0.3751563467890244
3607	MESH:D008113	51280	1	0.3751520051676023
10028	MESH:D004827	3785	1	0.37510384940650776
6064	MESH:D009765	2167	1	0.3749752157725382
3974	MESH:D008654	4072	1	0.3749705597946811
11338	MESH:D010195	6750	1	0.3749421769097985
367	MESH:D019337	7066	1	0.37484747518941297
1427	MESH:D001943	2065	1	0.3747180617978243
1217	MESH:D010051	4436	1	0.37465304599497584
4024	MESH:D008545	1464	1	0.3745765323835833
7808	MESH:D003876	3565	1	0.3744496021045016
913	MESH:D010190	2520	1	0.3739979987675059
9361	MESH:D007037	7038	1	0.3739675753491176
11423	MESH:D010518	4982	1	0.3739253888355054
21018	MESH:D007680	1956	0	0.3738751531917211
10587	MESH:D015535	51561	1	0.3737832886676983
11133	MESH:D002971	113452	1	0.37367095645195936
2128	MESH:D000310	3762	1	0.3735380098649661
9317	MESH:D010024	8600	1	0.37345420187964
2139	MESH:D000310	6392	1	0.3734187763967219
9178	MESH:D050197	5806	1	0.3734033211777619
8156	MESH:D011085	84467	1	0.3733661362973499
15551	MESH:D007680	2130	0	0.3733182623365441
3090	MESH:D013274	4233	1	0.3730816039097544
1189	MESH:D010051	2067	1	0.3728926365869228
9423	MESH:D005922	973	1	0.3727762195432151
4506	MESH:D003424	9231	1	0.3726832183520272
10613	MESH:D015433	4868	1	0.3726541676597418
5068	MESH:D003093	9231	1	0.37251365255863983
8065	MESH:D011085	5617	1	0.3724207025707125
7637	MESH:D006111	26191	1	0.372375664592919
5342	MESH:D001172	3663	1	0.37230375670260296
9205	MESH:D050197	9388	1	0.37212208243478606
8054	MESH:D011085	4544	1	0.3721177506672507
4330	MESH:D013736	3640	1	0.3720667937071897
3282	MESH:D001749	999	1	0.3720366381809915
3176	MESH:D013274	7298	1	0.371852837791818
1990	MESH:D005910	8434	1	0.37182179124862996
7257	MESH:D012559	5649	1	0.3716861950691527
3360	MESH:D001749	7380	1	0.3716365771699459
4607	MESH:D009103	3456	1	0.3715471044485201
8069	MESH:D011085	5950	1	0.3715138465431772
9218	MESH:D050197	56729	1	0.3714188740569456
5354	MESH:D001172	4314	1	0.3713801908094296
5202	MESH:D003922	8718	1	0.3712196619953443
256	MESH:D019337	4352	1	0.3706546616938517
7830	MESH:D003876	6361	1	0.37064763735738376
3041	MESH:D013274	1956	1	0.3705424355694765
1236	MESH:D010051	5655	1	0.3704823220478275
21542	MESH:D008545	4771	0	0.3703710086191527
4120	MESH:D008545	4255	1	0.3703462631955814
4596	MESH:D009103	3106	1	0.3702946106098022
977	MESH:D010190	6750	1	0.3701680704344327
709	MESH:D007680	2064	1	0.3701299474760339
1180	MESH:D010051	999	1	0.370044613579809
7952	MESH:D001714	121278	1	0.3699254323396552
11352	MESH:D010195	23436	1	0.36985041166645977
3357	MESH:D001749	7298	1	0.3697734426900128
8036	MESH:D011085	3479	1	0.3696490885885449
9081	MESH:D050197	348	1	0.3693155411816797
6463	MESH:D008180	3586	1	0.36930014223790897
10891	MESH:D001321	26047	1	0.3692979341452069
9850	MESH:D053713	8653	1	0.3692170780116861
11587	MESH:D000740	1401	1	0.3690317028910604
11245	MESH:D003866	6532	1	0.3690051350464769
5427	MESH:D001172	8600	1	0.3689593949533694
6435	MESH:D008180	1493	1	0.3689375143538219
13021	MESH:D013274	25855	0	0.3688983126545887
268	MESH:D019337	4763	1	0.3688583947449062
2022	MESH:D005910	64101	1	0.3686118311864644
1194	MESH:D010051	2348	1	0.368347725714373
9168	MESH:D050197	5360	1	0.3682570966871454
2348	MESH:D012468	3852	1	0.3682157652367657
16363	MESH:D005922	22925	0	0.3681955072530678
2202	MESH:D004938	1956	1	0.3681400153598217
1697	MESH:D001943	8202	1	0.3680979776402031
7082	MESH:D001249	7356	1	0.3680554199800695
11319	MESH:D010195	5406	1	0.367987549073991
3973	MESH:D008654	3852	1	0.36796291844559337
1346	MESH:D001943	595	1	0.3679369963965715
5429	MESH:D001172	8718	1	0.3679274002961275
6136	MESH:D009765	4018	1	0.3677939770311669
7436	MESH:D000544	627	1	0.3675463818389207
6201	MESH:D009765	5950	1	0.3674688873150282
4253	MESH:D008545	25797	1	0.3674044848266124
5232	MESH:D003922	387082	1	0.3673184071997013
6447	MESH:D008180	2215	1	0.3672970557450225
804	MESH:D007680	7849	1	0.3672231924129127
7731	MESH:D010300	5071	1	0.36722058625660703
7877	MESH:D001714	1813	1	0.3670467492425589
231	MESH:D019337	3815	1	0.36704352007615615
1793	MESH:D001943	51741	1	0.3668613205872098
1402	MESH:D001943	1588	1	0.3667489747669959
7845	MESH:D003876	11005	1	0.3667317488917207
3791	MESH:D003110	4072	1	0.3666683885450887
1808	MESH:D001943	63897	1	0.3665952439226262
20575	MESH:D001943	4838	0	0.3663992988354032
7123	MESH:D001249	85480	1	0.36634466827940704
4819	MESH:D003924	3767	1	0.3663408039918165
692	MESH:D007680	1027	1	0.3660950556110071
5339	MESH:D001172	3606	1	0.3659167188069813
2708	MESH:D011471	5728	1	0.3659010831300583
7584	MESH:D000544	23621	1	0.365814170335066
7605	MESH:D000544	120892	1	0.3656921767888541
9209	MESH:D050197	22796	1	0.36514761868991824
9863	MESH:D053713	66037	1	0.3651031864007866
11232	MESH:D003866	2289	1	0.3650651774023553
828	MESH:D007680	10630	1	0.3650364170604747
3247	MESH:D013274	55743	1	0.3648434976718857
2004	MESH:D005910	10763	1	0.3646544993629337
9112	MESH:D050197	2152	1	0.3643403923284179
6553	MESH:D008180	149233	1	0.36419566287957145
6903	MESH:D024821	56729	1	0.3641018338176853
10633	MESH:D016640	9370	1	0.3639561717168289
13273	MESH:D000544	6531	0	0.3638650927152575
1502	MESH:D001943	3480	1	0.3638221219784427
796	MESH:D007680	7157	1	0.3634941534127263
3817	MESH:D003110	8549	1	0.3634651233306959
1266	MESH:D010051	8289	1	0.3631157414984748
14075	MESH:D010190	4583	0	0.3629731839253244
1802	MESH:D001943	56946	1	0.3626379526685142
6506	MESH:D008180	7292	1	0.3625061842914976
15461	MESH:D013274	29126	0	0.3624277016055724
6747	MESH:D014820	4157	1	0.3623572522145652
711	MESH:D007680	2271	1	0.3620682850832767
1159	MESH:D010051	268	1	0.3620470401156904
851	MESH:D007680	79444	1	0.3619364278389774
3831	MESH:D007822	7157	1	0.36171965523632943
6539	MESH:D008180	55024	1	0.3617014128642944
1982	MESH:D005910	7157	1	0.3615026365637488
6134	MESH:D009765	3991	1	0.3612668514759246
10096	MESH:D004827	6326	1	0.3612616012088871
4560	MESH:D003424	345611	1	0.3612439238464617
6476	MESH:D008180	4153	1	0.3612277487452495
3832	MESH:D007822	10630	1	0.3610934990101764
4972	MESH:D003924	169026	1	0.3609677856071566
4118	MESH:D008545	4233	1	0.36093418120656173
1678	MESH:D001943	7298	1	0.3609265194005628
13381	MESH:D010190	8842	0	0.3609160701216718
437	MESH:D019337	10320	1	0.3608160207039845
2636	MESH:D011471	4072	1	0.3604015614935111
7954	MESH:D001714	267012	1	0.3602881663825706
5145	MESH:D003922	3106	1	0.36024816523768544
911	MESH:D010190	2305	1	0.3602472399147234
1534	MESH:D001943	4072	1	0.3600166935780998
12103	MESH:D019337	4221	0	0.3600115410352333
7746	MESH:D010300	6622	1	0.3600066955542422
11448	MESH:D001471	1029	1	0.359860229485517
11638	MESH:D000740	3048	1	0.3597689705586197
6234	MESH:D009765	7350	1	0.3597507186044053
867	MESH:D007680	201163	1	0.3592693152095213
6525	MESH:D008180	11277	1	0.35924901877809323
7813	MESH:D003876	3596	1	0.35905851831500524
5224	MESH:D003922	57818	1	0.3590453001821732
