Unnamed: 0	disease	gene	class	dummy_score
101	MESH:D019337	1053	1	1
102	MESH:D019337	1215	1	0
103	MESH:D019337	1236	1	0
104	MESH:D019337	1269	1	1
105	MESH:D019337	1378	1	0
106	MESH:D019337	1380	1	0
107	MESH:D019337	1381	1	0
108	MESH:D019337	1385	1	1
109	MESH:D019337	1387	1	0
110	MESH:D019337	1399	1	1
111	MESH:D019337	1401	1	0
112	MESH:D019337	1407	1	0
113	MESH:D019337	1408	1	1
114	MESH:D019337	1432	1	0
115	MESH:D019337	1435	1	1
116	MESH:D019337	1436	1	0
117	MESH:D019337	1437	1	0
118	MESH:D019337	1440	1	0
119	MESH:D019337	1471	1	0
120	MESH:D019337	1495	1	0
121	MESH:D019337	1512	1	1
122	MESH:D019337	1522	1	0
123	MESH:D019337	1612	1	0
124	MESH:D019337	1633	1	1
125	MESH:D019337	1728	1	0
126	MESH:D019337	1788	1	1
127	MESH:D019337	1789	1	1
128	MESH:D019337	1791	1	0
129	MESH:D019337	1847	1	1
130	MESH:D019337	1879	1	0
131	MESH:D019337	1902	1	1
132	MESH:D019337	1978	1	1
133	MESH:D019337	2026	1	1
134	MESH:D019337	2033	1	0
135	MESH:D019337	2052	1	0
136	MESH:D019337	2056	1	0
137	MESH:D019337	2078	1	0
138	MESH:D019337	2099	1	0
139	MESH:D019337	2120	1	1
140	MESH:D019337	2122	1	0
141	MESH:D019337	2125	1	1
142	MESH:D019337	2146	1	1
143	MESH:D019337	2152	1	0
144	MESH:D019337	2246	1	0
145	MESH:D019337	2247	1	0
146	MESH:D019337	2261	1	1
147	MESH:D019337	2268	1	0
148	MESH:D019337	2274	1	0
149	MESH:D019337	2305	1	0
150	MESH:D019337	2308	1	1
151	MESH:D019337	2322	1	0
152	MESH:D019337	2335	1	1
153	MESH:D019337	2353	1	0
154	MESH:D019337	2475	1	1
155	MESH:D019337	2524	1	0
156	MESH:D019337	2526	1	0
157	MESH:D019337	2623	1	0
158	MESH:D019337	2624	1	1
159	MESH:D019337	2625	1	1
160	MESH:D019337	2629	1	0
161	MESH:D019337	2650	1	1
162	MESH:D019337	2651	1	0
163	MESH:D019337	2672	1	0
164	MESH:D019337	2706	1	0
165	MESH:D019337	2707	1	0
166	MESH:D019337	2838	1	1
167	MESH:D019337	2885	1	1
168	MESH:D019337	2908	1	0
169	MESH:D019337	2944	1	1
170	MESH:D019337	2950	1	1
171	MESH:D019337	2952	1	1
172	MESH:D019337	2969	1	1
173	MESH:D019337	2993	1	1
174	MESH:D019337	3002	1	0
175	MESH:D019337	3005	1	1
176	MESH:D019337	3006	1	1
177	MESH:D019337	3020	1	0
178	MESH:D019337	3021	1	0
179	MESH:D019337	3050	1	1
180	MESH:D019337	3066	1	1
181	MESH:D019337	3067	1	0
182	MESH:D019337	3082	1	0
183	MESH:D019337	3105	1	1
184	MESH:D019337	3106	1	0
185	MESH:D019337	3110	1	0
186	MESH:D019337	3117	1	0
187	MESH:D019337	3161	1	0
188	MESH:D019337	3195	1	0
189	MESH:D019337	3205	1	1
190	MESH:D019337	3240	1	1
191	MESH:D019337	3265	1	1
192	MESH:D019337	3280	1	1
193	MESH:D019337	3308	1	0
194	MESH:D019337	3309	1	0
195	MESH:D019337	3315	1	1
196	MESH:D019337	3320	1	1
197	MESH:D019337	3383	1	1
198	MESH:D019337	3394	1	1
199	MESH:D019337	3398	1	1
200	MESH:D019337	3399	1	1
201	MESH:D019337	3417	1	0
202	MESH:D019337	3418	1	1
203	MESH:D019337	3439	1	1
204	MESH:D019337	3440	1	1
205	MESH:D019337	3458	1	1
206	MESH:D019337	3553	1	0
207	MESH:D019337	3558	1	1
208	MESH:D019337	3559	1	0
209	MESH:D019337	3562	1	0
210	MESH:D019337	3563	1	0
211	MESH:D019337	3565	1	1
212	MESH:D019337	3569	1	0
213	MESH:D019337	3570	1	1
214	MESH:D019337	3574	1	1
215	MESH:D019337	3586	1	0
216	MESH:D019337	3596	1	1
217	MESH:D019337	3600	1	1
218	MESH:D019337	3662	1	0
219	MESH:D019337	3676	1	0
220	MESH:D019337	3681	1	0
221	MESH:D019337	3682	1	0
222	MESH:D019337	3683	1	1
223	MESH:D019337	3687	1	0
224	MESH:D019337	3713	1	1
225	MESH:D019337	3716	1	0
226	MESH:D019337	3717	1	0
227	MESH:D019337	3718	1	1
228	MESH:D019337	3725	1	0
229	MESH:D019337	3727	1	0
230	MESH:D019337	3812	1	1
231	MESH:D019337	3815	1	1
232	MESH:D019337	3845	1	1
233	MESH:D019337	3932	1	1
234	MESH:D019337	3981	1	1
235	MESH:D019337	4004	1	1
236	MESH:D019337	4005	1	1
237	MESH:D019337	4026	1	1
238	MESH:D019337	4066	1	1
239	MESH:D019337	4068	1	0
240	MESH:D019337	4069	1	0
241	MESH:D019337	4094	1	1
242	MESH:D019337	4170	1	1
243	MESH:D019337	4193	1	1
244	MESH:D019337	4211	1	0
245	MESH:D019337	4233	1	1
246	MESH:D019337	4254	1	0
247	MESH:D019337	4255	1	1
248	MESH:D019337	4267	1	1
249	MESH:D019337	4291	1	1
250	MESH:D019337	4292	1	1
251	MESH:D019337	4297	1	0
252	MESH:D019337	4298	1	0
253	MESH:D019337	4300	1	0
254	MESH:D019337	4311	1	0
255	MESH:D019337	4330	1	1
256	MESH:D019337	4352	1	0
257	MESH:D019337	4353	1	0
258	MESH:D019337	4507	1	0
259	MESH:D019337	4524	1	1
260	MESH:D019337	4548	1	1
261	MESH:D019337	4582	1	1
262	MESH:D019337	4599	1	1
263	MESH:D019337	4602	1	0
264	MESH:D019337	4605	1	0
265	MESH:D019337	4609	1	0
266	MESH:D019337	4629	1	1
267	MESH:D019337	4684	1	0
268	MESH:D019337	4763	1	1
269	MESH:D019337	4792	1	1
270	MESH:D019337	4851	1	0
271	MESH:D019337	4869	1	0
272	MESH:D019337	4893	1	1
273	MESH:D019337	4928	1	0
274	MESH:D019337	4956	1	1
275	MESH:D019337	4968	1	0
276	MESH:D019337	4982	1	0
277	MESH:D019337	5079	1	0
278	MESH:D019337	5087	1	0
279	MESH:D019337	5091	1	0
280	MESH:D019337	5142	1	1
281	MESH:D019337	5154	1	0
282	MESH:D019337	5155	1	0
283	MESH:D019337	5156	1	1
284	MESH:D019337	5159	1	1
285	MESH:D019337	5172	1	1
286	MESH:D019337	5187	1	0
287	MESH:D019337	5243	1	1
288	MESH:D019337	5264	1	1
289	MESH:D019337	5290	1	0
290	MESH:D019337	5291	1	1
291	MESH:D019337	5293	1	1
292	MESH:D019337	5294	1	0
293	MESH:D019337	5295	1	1
294	MESH:D019337	5358	1	1
295	MESH:D019337	5366	1	1
296	MESH:D019337	5371	1	1
297	MESH:D019337	5444	1	0
298	MESH:D019337	5457	1	0
299	MESH:D019337	5475	1	0
300	MESH:D019337	5552	1	0
301	MESH:D019337	5582	1	0
302	MESH:D019337	5590	1	1
303	MESH:D019337	5595	1	1
304	MESH:D019337	5599	1	1
305	MESH:D019337	5604	1	1
306	MESH:D019337	5657	1	1
307	MESH:D019337	5728	1	1
308	MESH:D019337	5734	1	0
309	MESH:D019337	5744	1	1
310	MESH:D019337	5756	1	0
311	MESH:D019337	5770	1	1
312	MESH:D019337	5771	1	1
313	MESH:D019337	5781	1	1
314	MESH:D019337	5788	1	0
315	MESH:D019337	5795	1	1
316	MESH:D019337	5810	1	1
317	MESH:D019337	5880	1	0
318	MESH:D019337	5885	1	0
319	MESH:D019337	5914	1	0
320	MESH:D019337	5917	1	1
321	MESH:D019337	5925	1	1
322	MESH:D019337	5926	1	1
323	MESH:D019337	5966	1	1
324	MESH:D019337	5979	1	1
325	MESH:D019337	5997	1	1
326	MESH:D019337	6176	1	0
327	MESH:D019337	6208	1	0
328	MESH:D019337	6279	1	1
329	MESH:D019337	6281	1	1
330	MESH:D019337	6320	1	1
331	MESH:D019337	6347	1	0
332	MESH:D019337	6348	1	1
333	MESH:D019337	6361	1	0
334	MESH:D019337	6382	1	0
335	MESH:D019337	6402	1	0
336	MESH:D019337	6446	1	1
337	MESH:D019337	6455	1	1
338	MESH:D019337	6494	1	0
339	MESH:D019337	6580	1	1
340	MESH:D019337	6597	1	1
341	MESH:D019337	6622	1	1
342	MESH:D019337	6624	1	1
343	MESH:D019337	6648	1	1
344	MESH:D019337	6664	1	0
345	MESH:D019337	6668	1	1
346	MESH:D019337	6672	1	1
347	MESH:D019337	6678	1	1
348	MESH:D019337	6688	1	0
349	MESH:D019337	6693	1	0
350	MESH:D019337	6714	1	0
351	MESH:D019337	6772	1	1
352	MESH:D019337	6774	1	1
353	MESH:D019337	6776	1	1
354	MESH:D019337	6777	1	0
355	MESH:D019337	6840	1	0
356	MESH:D019337	6850	1	1
357	MESH:D019337	6886	1	1
358	MESH:D019337	6900	1	1
359	MESH:D019337	6919	1	0
360	MESH:D019337	6929	1	1
361	MESH:D019337	7001	1	0
362	MESH:D019337	7014	1	0
363	MESH:D019337	7015	1	1
364	MESH:D019337	7037	1	0
365	MESH:D019337	7040	1	1
366	MESH:D019337	7049	1	0
367	MESH:D019337	7066	1	1
368	MESH:D019337	7070	1	0
369	MESH:D019337	7072	1	0
370	MESH:D019337	7074	1	0
371	MESH:D019337	7124	1	1
372	MESH:D019337	7150	1	0
373	MESH:D019337	7153	1	0
374	MESH:D019337	7155	1	1
375	MESH:D019337	7157	1	1
376	MESH:D019337	7200	1	0
377	MESH:D019337	7204	1	0
378	MESH:D019337	7249	1	1
379	MESH:D019337	7280	1	0
380	MESH:D019337	7294	1	0
381	MESH:D019337	7295	1	1
382	MESH:D019337	7341	1	0
383	MESH:D019337	7345	1	0
384	MESH:D019337	7422	1	0
385	MESH:D019337	7490	1	0
386	MESH:D019337	7535	1	0
387	MESH:D019337	7704	1	1
388	MESH:D019337	7837	1	0
389	MESH:D019337	7852	1	1
390	MESH:D019337	7913	1	1
391	MESH:D019337	7994	1	1
392	MESH:D019337	8021	1	1
393	MESH:D019337	8028	1	0
394	MESH:D019337	8178	1	1
395	MESH:D019337	8202	1	0
396	MESH:D019337	8227	1	1
397	MESH:D019337	8243	1	1
398	MESH:D019337	8289	1	1
399	MESH:D019337	8301	1	1
400	MESH:D019337	8320	1	1
401	MESH:D019337	8431	1	0
402	MESH:D019337	8600	1	1
403	MESH:D019337	8623	1	0
404	MESH:D019337	8625	1	0
405	MESH:D019337	8701	1	1
406	MESH:D019337	8714	1	1
407	MESH:D019337	8743	1	1
408	MESH:D019337	8795	1	0
409	MESH:D019337	8813	1	1
410	MESH:D019337	8833	1	1
411	MESH:D019337	8837	1	1
412	MESH:D019337	8863	1	1
413	MESH:D019337	8864	1	1
414	MESH:D019337	8877	1	1
415	MESH:D019337	8915	1	1
416	MESH:D019337	9126	1	1
417	MESH:D019337	9138	1	1
418	MESH:D019337	9145	1	1
419	MESH:D019337	9242	1	0
420	MESH:D019337	9260	1	0
421	MESH:D019337	9429	1	0
422	MESH:D019337	9446	1	1
423	MESH:D019337	9611	1	1
424	MESH:D019337	9612	1	0
425	MESH:D019337	9623	1	1
426	MESH:D019337	9734	1	0
427	MESH:D019337	9920	1	1
428	MESH:D019337	9935	1	0
429	MESH:D019337	9947	1	1
430	MESH:D019337	9965	1	1
431	MESH:D019337	10019	1	0
432	MESH:D019337	10043	1	1
433	MESH:D019337	10077	1	0
434	MESH:D019337	10113	1	1
435	MESH:D019337	10125	1	1
436	MESH:D019337	10296	1	0
437	MESH:D019337	10320	1	1
438	MESH:D019337	10437	1	0
439	MESH:D019337	10563	1	1
440	MESH:D019337	10634	1	1
441	MESH:D019337	10672	1	0
442	MESH:D019337	10673	1	0
443	MESH:D019337	10693	1	1
444	MESH:D019337	10735	1	1
445	MESH:D019337	10752	1	1
446	MESH:D019337	10801	1	0
447	MESH:D019337	10804	1	0
448	MESH:D019337	10841	1	0
449	MESH:D019337	10848	1	0
450	MESH:D019337	10892	1	1
451	MESH:D019337	10982	1	0
452	MESH:D019337	11040	1	1
453	MESH:D019337	11168	1	1
454	MESH:D019337	11262	1	0
455	MESH:D019337	11326	1	1
456	MESH:D019337	22794	1	0
457	MESH:D019337	22924	1	1
458	MESH:D019337	22943	1	0
459	MESH:D019337	23218	1	0
460	MESH:D019337	23365	1	1
461	MESH:D019337	23457	1	1
462	MESH:D019337	23492	1	1
463	MESH:D019337	23495	1	0
464	MESH:D019337	23532	1	1
465	MESH:D019337	23583	1	1
466	MESH:D019337	25865	1	1
467	MESH:D019337	25913	1	1
468	MESH:D019337	26034	1	0
469	MESH:D019337	26040	1	1
470	MESH:D019337	26160	1	1
471	MESH:D019337	26511	1	0
472	MESH:D019337	27086	1	0
473	MESH:D019337	27087	1	0
474	MESH:D019337	27102	1	0
475	MESH:D019337	27113	1	0
476	MESH:D019337	27161	1	0
477	MESH:D019337	27164	1	0
478	MESH:D019337	29072	1	0
479	MESH:D019337	30012	1	1
480	MESH:D019337	30845	1	1
481	MESH:D019337	50489	1	1
482	MESH:D019337	50943	1	1
483	MESH:D019337	51119	1	1
484	MESH:D019337	51176	1	1
485	MESH:D019337	51185	1	0
486	MESH:D019337	51301	1	1
487	MESH:D019337	51510	1	0
488	MESH:D019337	53826	1	0
489	MESH:D019337	53827	1	0
490	MESH:D019337	53942	1	1
491	MESH:D019337	53947	1	0
492	MESH:D019337	54205	1	0
493	MESH:D019337	54541	1	1
494	MESH:D019337	54658	1	0
495	MESH:D019337	54790	1	1
496	MESH:D019337	54904	1	1
497	MESH:D019337	54986	1	1
498	MESH:D019337	55289	1	1
499	MESH:D019337	55294	1	1
500	MESH:D019337	55512	1	1
501	MESH:D019337	55718	1	1
502	MESH:D019337	55892	1	1
503	MESH:D019337	55904	1	0
504	MESH:D019337	57167	1	1
505	MESH:D019337	57379	1	0
506	MESH:D019337	57381	1	0
507	MESH:D019337	57410	1	1
508	MESH:D019337	57476	1	1
509	MESH:D019337	57591	1	1
510	MESH:D019337	60468	1	1
511	MESH:D019337	64005	1	1
512	MESH:D019337	64109	1	0
513	MESH:D019337	64225	1	0
514	MESH:D019337	64324	1	0
515	MESH:D019337	64783	1	0
516	MESH:D019337	64864	1	1
517	MESH:D019337	64919	1	1
518	MESH:D019337	79818	1	0
519	MESH:D019337	79870	1	0
520	MESH:D019337	79885	1	0
521	MESH:D019337	80829	1	1
522	MESH:D019337	81037	1	1
523	MESH:D019337	81552	1	0
524	MESH:D019337	81608	1	1
525	MESH:D019337	83483	1	1
526	MESH:D019337	83933	1	1
527	MESH:D019337	84159	1	0
528	MESH:D019337	84433	1	1
529	MESH:D019337	84444	1	1
530	MESH:D019337	84662	1	1
531	MESH:D019337	84939	1	1
532	MESH:D019337	85019	1	0
533	MESH:D019337	92483	1	1
534	MESH:D019337	93035	1	1
535	MESH:D019337	121256	1	1
536	MESH:D019337	145270	1	0
537	MESH:D019337	147920	1	0
538	MESH:D019337	170680	1	0
539	MESH:D019337	171023	1	0
540	MESH:D019337	197257	1	1
541	MESH:D019337	200942	1	0
542	MESH:D019337	201161	1	0
543	MESH:D019337	219844	1	0
544	MESH:D019337	286530	1	0
545	MESH:D019337	327657	1	1
546	MESH:D019337	340152	1	0
547	MESH:D019337	343641	1	0
548	MESH:D019337	347734	1	1
549	MESH:D019337	375790	1	1
550	MESH:D001932	29	1	0
551	MESH:D001932	238	1	1
552	MESH:D001932	257	1	1
553	MESH:D001932	324	1	1
554	MESH:D001932	474	1	0
555	MESH:D001932	595	1	1
556	MESH:D001932	675	1	1
557	MESH:D001932	682	1	1
558	MESH:D001932	898	1	0
559	MESH:D001932	1019	1	0
560	MESH:D001932	1021	1	0
561	MESH:D001932	1029	1	1
562	MESH:D001932	1499	1	0
563	MESH:D001932	1559	1	0
564	MESH:D001932	1612	1	1
565	MESH:D001932	1755	1	0
566	MESH:D001932	1786	1	0
567	MESH:D001932	1956	1	0
568	MESH:D001932	2026	1	0
569	MESH:D001932	2064	1	0
570	MESH:D001932	2100	1	0
571	MESH:D001932	2130	1	1
572	MESH:D001932	2275	1	1
573	MESH:D001932	2313	1	1
574	MESH:D001932	2670	1	0
575	MESH:D001932	2735	1	1
576	MESH:D001932	2736	1	1
577	MESH:D001932	3090	1	0
578	MESH:D001932	3280	1	1
579	MESH:D001932	3417	1	0
580	MESH:D001932	3558	1	1
581	MESH:D001932	4140	1	0
582	MESH:D001932	4151	1	1
583	MESH:D001932	4255	1	1
584	MESH:D001932	4352	1	0
585	MESH:D001932	4609	1	1
586	MESH:D001932	4610	1	1
587	MESH:D001932	4613	1	1
588	MESH:D001932	4659	1	1
589	MESH:D001932	4853	1	0
590	MESH:D001932	4916	1	0
591	MESH:D001932	5015	1	0
592	MESH:D001932	5111	1	0
593	MESH:D001932	5156	1	1
594	MESH:D001932	5294	1	1
595	MESH:D001932	5395	1	0
596	MESH:D001932	5444	1	1
597	MESH:D001932	5727	1	1
598	MESH:D001932	5970	1	1
599	MESH:D001932	6275	1	0
600	MESH:D001932	6277	1	1
601	MESH:D001932	6281	1	1
602	MESH:D001932	6447	1	0
603	MESH:D001932	6469	1	1
604	MESH:D001932	6502	1	0
605	MESH:D001932	6598	1	1
606	MESH:D001932	6608	1	1
607	MESH:D001932	6648	1	1
608	MESH:D001932	6696	1	1
609	MESH:D001932	6774	1	1
610	MESH:D001932	6855	1	1
611	MESH:D001932	7052	1	1
612	MESH:D001932	7157	1	0
613	MESH:D001932	7225	1	1
614	MESH:D001932	7409	1	1
615	MESH:D001932	7422	1	1
616	MESH:D001932	7994	1	0
617	MESH:D001932	8493	1	0
618	MESH:D001932	8643	1	1
619	MESH:D001932	8660	1	0
620	MESH:D001932	8842	1	1
621	MESH:D001932	8848	1	0
622	MESH:D001932	9074	1	0
623	MESH:D001932	9696	1	0
624	MESH:D001932	9727	1	0
625	MESH:D001932	10215	1	0
626	MESH:D001932	10389	1	0
627	MESH:D001932	10763	1	0
628	MESH:D001932	11186	1	1
629	MESH:D001932	22865	1	1
630	MESH:D001932	23030	1	1
631	MESH:D001932	23081	1	1
632	MESH:D001932	23411	1	1
633	MESH:D001932	23462	1	1
634	MESH:D001932	23532	1	0
635	MESH:D001932	26050	1	0
636	MESH:D001932	27436	1	1
637	MESH:D001932	28514	1	1
638	MESH:D001932	51528	1	0
639	MESH:D001932	51684	1	0
640	MESH:D001932	56980	1	0
641	MESH:D001932	59336	1	0
642	MESH:D001932	79813	1	0
643	MESH:D001932	83746	1	1
644	MESH:D001932	84189	1	1
645	MESH:D001932	84236	1	1
646	MESH:D001932	84456	1	0
647	MESH:D001932	84530	1	0
648	MESH:D001932	84631	1	0
649	MESH:D001932	92335	1	1
650	MESH:D001932	113878	1	1
651	MESH:D001932	114826	1	0
652	MESH:D001932	115752	1	1
653	MESH:D001932	127066	1	1
654	MESH:D001932	139065	1	0
655	MESH:D001932	147040	1	1
656	MESH:D001932	283093	1	1
657	MESH:D001932	286077	1	1
658	MESH:D001932	388585	1	1
659	MESH:D001932	441478	1	0
660	MESH:D007680	43	1	1
661	MESH:D007680	95	1	0
662	MESH:D007680	210	1	1
663	MESH:D007680	216	1	1
664	MESH:D007680	238	1	1
665	MESH:D007680	301	1	1
666	MESH:D007680	302	1	0
667	MESH:D007680	307	1	1
668	MESH:D007680	317	1	0
669	MESH:D007680	324	1	0
670	MESH:D007680	332	1	1
671	MESH:D007680	353	1	1
672	MESH:D007680	540	1	0
673	MESH:D007680	590	1	1
674	MESH:D007680	595	1	0
675	MESH:D007680	655	1	0
676	MESH:D007680	673	1	0
677	MESH:D007680	675	1	0
678	MESH:D007680	760	1	1
679	MESH:D007680	768	1	1
680	MESH:D007680	800	1	1
681	MESH:D007680	822	1	1
682	MESH:D007680	835	1	1
683	MESH:D007680	883	1	0
684	MESH:D007680	920	1	1
685	MESH:D007680	925	1	0
686	MESH:D007680	947	1	0
687	MESH:D007680	949	1	0
688	MESH:D007680	999	1	0
689	MESH:D007680	1004	1	1
690	MESH:D007680	1014	1	0
691	MESH:D007680	1015	1	1
692	MESH:D007680	1027	1	0
693	MESH:D007680	1029	1	1
694	MESH:D007680	1030	1	1
695	MESH:D007680	1265	1	1
696	MESH:D007680	1366	1	1
697	MESH:D007680	1381	1	1
698	MESH:D007680	1410	1	1
699	MESH:D007680	1495	1	0
700	MESH:D007680	1499	1	1
701	MESH:D007680	1508	1	1
702	MESH:D007680	1509	1	1
703	MESH:D007680	1543	1	1
704	MESH:D007680	1612	1	1
705	MESH:D007680	1938	1	1
706	MESH:D007680	1958	1	1
707	MESH:D007680	1978	1	1
708	MESH:D007680	2034	1	1
709	MESH:D007680	2064	1	0
710	MESH:D007680	2122	1	1
711	MESH:D007680	2271	1	0
712	MESH:D007680	2272	1	0
713	MESH:D007680	2321	1	1
714	MESH:D007680	2355	1	1
715	MESH:D007680	2475	1	1
716	MESH:D007680	2705	1	1
717	MESH:D007680	2719	1	1
718	MESH:D007680	2886	1	1
719	MESH:D007680	2944	1	0
720	MESH:D007680	2950	1	0
721	MESH:D007680	2952	1	0
722	MESH:D007680	3035	1	1
723	MESH:D007680	3091	1	0
724	MESH:D007680	3313	1	1
725	MESH:D007680	3315	1	0
726	MESH:D007680	3329	1	0
727	MESH:D007680	3439	1	0
728	MESH:D007680	3440	1	0
729	MESH:D007680	3480	1	1
730	MESH:D007680	3481	1	1
731	MESH:D007680	3490	1	1
732	MESH:D007680	3558	1	1
733	MESH:D007680	3566	1	1
734	MESH:D007680	3596	1	1
735	MESH:D007680	3709	1	0
736	MESH:D007680	3725	1	1
737	MESH:D007680	3726	1	1
738	MESH:D007680	3727	1	1
739	MESH:D007680	3778	1	1
740	MESH:D007680	3791	1	1
741	MESH:D007680	3815	1	0
742	MESH:D007680	3845	1	1
743	MESH:D007680	3855	1	1
744	MESH:D007680	3856	1	0
745	MESH:D007680	3882	1	1
746	MESH:D007680	3897	1	0
747	MESH:D007680	3945	1	0
748	MESH:D007680	4074	1	0
749	MESH:D007680	4233	1	1
750	MESH:D007680	4286	1	1
751	MESH:D007680	4311	1	0
752	MESH:D007680	4435	1	0
753	MESH:D007680	4585	1	1
754	MESH:D007680	4609	1	1
755	MESH:D007680	4771	1	0
756	MESH:D007680	4868	1	1
757	MESH:D007680	4968	1	1
758	MESH:D007680	5058	1	1
759	MESH:D007680	5076	1	1
760	MESH:D007680	5080	1	0
761	MESH:D007680	5162	1	1
762	MESH:D007680	5230	1	1
763	MESH:D007680	5243	1	1
764	MESH:D007680	5290	1	0
765	MESH:D007680	5443	1	0
766	MESH:D007680	5471	1	0
767	MESH:D007680	5546	1	1
768	MESH:D007680	5594	1	0
769	MESH:D007680	5595	1	0
770	MESH:D007680	5713	1	0
771	MESH:D007680	5728	1	1
772	MESH:D007680	5742	1	1
773	MESH:D007680	5743	1	1
774	MESH:D007680	5816	1	0
775	MESH:D007680	5894	1	1
776	MESH:D007680	5970	1	1
777	MESH:D007680	6098	1	1
778	MESH:D007680	6261	1	0
779	MESH:D007680	6271	1	0
780	MESH:D007680	6423	1	1
781	MESH:D007680	6483	1	1
782	MESH:D007680	6513	1	0
783	MESH:D007680	6526	1	0
784	MESH:D007680	6528	1	1
785	MESH:D007680	6596	1	1
786	MESH:D007680	6598	1	1
787	MESH:D007680	6648	1	1
788	MESH:D007680	6725	1	1
789	MESH:D007680	6790	1	1
790	MESH:D007680	6921	1	0
791	MESH:D007680	6923	1	1
792	MESH:D007680	6927	1	0
793	MESH:D007680	6928	1	1
794	MESH:D007680	7030	1	0
795	MESH:D007680	7052	1	0
796	MESH:D007680	7157	1	1
797	MESH:D007680	7248	1	1
798	MESH:D007680	7249	1	1
799	MESH:D007680	7380	1	1
800	MESH:D007680	7422	1	1
801	MESH:D007680	7428	1	0
802	MESH:D007680	7490	1	1
803	MESH:D007680	7584	1	1
804	MESH:D007680	7849	1	0
805	MESH:D007680	7942	1	0
806	MESH:D007680	8028	1	0
807	MESH:D007680	8061	1	1
808	MESH:D007680	8242	1	0
809	MESH:D007680	8314	1	0
810	MESH:D007680	8407	1	1
811	MESH:D007680	8633	1	0
812	MESH:D007680	8738	1	1
813	MESH:D007680	8743	1	0
814	MESH:D007680	8790	1	1
815	MESH:D007680	9045	1	1
816	MESH:D007680	9073	1	1
817	MESH:D007680	9113	1	1
818	MESH:D007680	9350	1	0
819	MESH:D007680	9589	1	1
820	MESH:D007680	9669	1	1
821	MESH:D007680	9745	1	1
822	MESH:D007680	9817	1	1
823	MESH:D007680	9820	1	1
824	MESH:D007680	9839	1	1
825	MESH:D007680	10397	1	0
826	MESH:D007680	10404	1	1
827	MESH:D007680	10628	1	0
